epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,5775.43,0.83591,0.47885,1.08198,0.80366,0.78758,0.86262,0.65129,1.01439,0.55065,1.27083,0.009175,0.009175,0.009175
127,5821.03,0.83964,0.4791,1.09155,0.81233,0.81743,0.87403,0.66292,1.00757,0.53649,1.2732,0.0091684,0.0091684,0.0091684
128,5866.56,0.83173,0.47607,1.08374,0.83972,0.77163,0.87307,0.66129,1.00713,0.53748,1.27146,0.0091618,0.0091618,0.0091618
129,5912.08,0.83215,0.47265,1.08155,0.80514,0.79465,0.87068,0.66066,1.01181,0.54057,1.27037,0.0091552,0.0091552,0.0091552
130,5957.73,0.83064,0.4662,1.08402,0.80635,0.80499,0.87581,0.66001,1.00965,0.54303,1.27201,0.0091486,0.0091486,0.0091486
131,6003.4,0.82415,0.47062,1.07723,0.80745,0.81492,0.87581,0.66713,1.00103,0.5368,1.26562,0.009142,0.009142,0.009142
132,6049.27,0.82941,0.46768,1.08246,0.80775,0.81945,0.8801,0.66587,1.00194,0.53139,1.26289,0.0091354,0.0091354,0.0091354
133,6094.82,0.82825,0.47011,1.07853,0.82173,0.79707,0.87597,0.6668,1.00225,0.53742,1.26336,0.0091288,0.0091288,0.0091288
134,6140.4,0.82545,0.4647,1.08012,0.82427,0.80497,0.87442,0.66525,1.00542,0.53671,1.2649,0.0091222,0.0091222,0.0091222
135,6185.99,0.82562,0.46597,1.07729,0.81758,0.80554,0.87304,0.6633,0.99811,0.5378,1.26186,0.0091156,0.0091156,0.0091156
136,6231.64,0.82364,0.46584,1.08,0.82697,0.79012,0.87698,0.66537,0.99929,0.53106,1.26308,0.009109,0.009109,0.009109
137,6277.28,0.8228,0.46526,1.08173,0.84584,0.80626,0.88134,0.6712,1.00244,0.52705,1.26846,0.0091024,0.0091024,0.0091024
138,6323.02,0.81733,0.46193,1.06733,0.83127,0.81785,0.88346,0.67018,1.00219,0.52376,1.26966,0.0090958,0.0090958,0.0090958
